anio,mes,zona,municipio_id,municipio_nombre,delegacion,genero,cantidad
2016,1,19,06007,Adolfo Alsina,Rivera,femenino,1
2016,1,19,06007,Adolfo Alsina,Villa Maza,femenino,1
2016,1,19,06007,Adolfo Alsina,Carhué,femenino,7
2016,1,19,06007,Adolfo Alsina,Carhué,masculino,4
2016,1,5,06021,Alberti,Mechita,femenino,3
2016,1,5,06021,Alberti,Alberti,femenino,9
2016,1,5,06021,Alberti,Mechita,masculino,3
2016,1,5,06021,Alberti,Alberti,masculino,8
2016,1,18,06028,Almirante Brown,Barrio San José de Almirante Brown,femenino,7
2016,1,18,06028,Almirante Brown,Longchamps,femenino,16
2016,1,18,06028,Almirante Brown,Glew,femenino,18
2016,1,18,06028,Almirante Brown,Rafael Calzada,femenino,20
2016,1,18,06028,Almirante Brown,Adrogué,femenino,22
2016,1,18,06028,Almirante Brown,Claypole,femenino,22
2016,1,18,06028,Almirante Brown,Burzaco,femenino,32
2016,1,18,06028,Almirante Brown,Hospital Melendez-Almirante Brown,femenino,73
2016,1,18,06028,Almirante Brown,Hospital Dr. Arturo Oñativia-Almirante Brown,femenino,119
2016,1,18,06028,Almirante Brown,Barrio San José de Almirante Brown,masculino,11
2016,1,18,06028,Almirante Brown,Glew,masculino,13
2016,1,18,06028,Almirante Brown,Adrogué,masculino,18
2016,1,18,06028,Almirante Brown,Longchamps,masculino,18
2016,1,18,06028,Almirante Brown,Claypole,masculino,25
2016,1,18,06028,Almirante Brown,Burzaco,masculino,27
2016,1,18,06028,Almirante Brown,Rafael Calzada,masculino,27
2016,1,18,06028,Almirante Brown,Hospital Melendez-Almirante Brown,masculino,78
2016,1,18,06028,Almirante Brown,Hospital Dr. Arturo Oñativia-Almirante Brown,masculino,128
2016,1,1,06077,Arrecifes,Arrecifes,femenino,19
2016,1,1,06077,Arrecifes,Arrecifes,masculino,22
2016,1,21,06035,Avellaneda,Gerli-Avellaneda,femenino,2
2016,1,21,06035,Avellaneda,Dock Sud,femenino,4
2016,1,21,06035,Avellaneda,Wilde,femenino,11
2016,1,21,06035,Avellaneda,Villa Domínico,femenino,12
2016,1,21,06035,Avellaneda,Avellaneda,femenino,28
2016,1,21,06035,Avellaneda,Hospital Interzonal General De Agudos Presidente Perón-Avellaneda,femenino,70
2016,1,21,06035,Avellaneda,Hospital Ana Goitia-Avellaneda,femenino,129
2016,1,21,06035,Avellaneda,Dock Sud,masculino,6
2016,1,21,06035,Avellaneda,Gerli-Avellaneda,masculino,8
2016,1,21,06035,Avellaneda,Wilde,masculino,8
2016,1,21,06035,Avellaneda,Villa Domínico,masculino,10
2016,1,21,06035,Avellaneda,Avellaneda,masculino,17
2016,1,21,06035,Avellaneda,Hospital Interzonal General De Agudos Presidente Perón-Avellaneda,masculino,68
2016,1,21,06035,Avellaneda,Hospital Ana Goitia-Avellaneda,masculino,120
2016,1,11,06042,Ayacucho,Ayacucho,femenino,9
2016,1,11,06042,Ayacucho,Ayacucho,masculino,13
2016,1,9,06049,Azul,Azul,femenino,9
2016,1,9,06049,Azul,"Hospital Materno Infantil ""Argentina Diego""",femenino,30
2016,1,9,06049,Azul,Cacharí,masculino,1
2016,1,9,06049,Azul,Chillar,masculino,2
2016,1,9,06049,Azul,Azul,masculino,17
2016,1,9,06049,Azul,"Hospital Materno Infantil ""Argentina Diego""",masculino,23
2016,1,16,06056,Bahía Blanca,Cabildo,femenino,2
2016,1,16,06056,Bahía Blanca,General Daniel Cerri,femenino,3
2016,1,16,06056,Bahía Blanca,Ingeniero White,femenino,28
2016,1,16,06056,Bahía Blanca,Hospital Dr José Penna-Bahía Blanca,femenino,89
2016,1,16,06056,Bahía Blanca,Bahía Blanca,femenino,110
2016,1,16,06056,Bahía Blanca,Cabildo,masculino,2
2016,1,16,06056,Bahía Blanca,General Daniel Cerri,masculino,4
2016,1,16,06056,Bahía Blanca,Ingeniero White,masculino,22
2016,1,16,06056,Bahía Blanca,Hospital Dr José Penna-Bahía Blanca,masculino,72
2016,1,16,06056,Bahía Blanca,Bahía Blanca,masculino,116
2016,1,11,06063,Balcarce,Balcarce,femenino,30
2016,1,11,06063,Balcarce,Balcarce,masculino,24
2016,1,1,06070,Baradero,Baradero,femenino,20
2016,1,1,06070,Baradero,Baradero,masculino,29
2016,1,9,06084,Benito Juárez,Barker,femenino,2
2016,1,9,06084,Benito Juárez,Benito Juárez,femenino,16
2016,1,9,06084,Benito Juárez,Barker,masculino,1
2016,1,9,06084,Benito Juárez,Benito Juárez,masculino,12
2016,1,7,06091,Berazategui,Juan María Gutiérrez,femenino,7
2016,1,7,06091,Berazategui,El Pato,femenino,9
2016,1,7,06091,Berazategui,Guillermo Hudson,femenino,13
2016,1,7,06091,Berazategui,Barrio Marítimo del Hudson,femenino,20
2016,1,7,06091,Berazategui,Berazategui,femenino,37
2016,1,7,06091,Berazategui,Hospital Evita Pueblo-Berazategui,femenino,135
2016,1,7,06091,Berazategui,Juan María Gutiérrez,masculino,4
2016,1,7,06091,Berazategui,El Pato,masculino,8
2016,1,7,06091,Berazategui,Barrio Marítimo del Hudson,masculino,11
2016,1,7,06091,Berazategui,Guillermo Hudson,masculino,18
2016,1,7,06091,Berazategui,Berazategui,masculino,56
2016,1,7,06091,Berazategui,Hospital Evita Pueblo-Berazategui,masculino,129
2016,1,6,06098,Berisso,Berisso Sección Segunda,femenino,6
2016,1,6,06098,Berisso,Berisso,femenino,35
2016,1,6,06098,Berisso,Berisso Sección Segunda,masculino,10
2016,1,6,06098,Berisso,Berisso,masculino,46
2016,1,9,06105,Bolívar,Pirovano,femenino,1
2016,1,9,06105,Bolívar,Urdampilleta,femenino,2
2016,1,9,06105,Bolívar,Bolívar,femenino,26
2016,1,9,06105,Bolívar,Urdampilleta,masculino,1
2016,1,9,06105,Bolívar,Bolívar,masculino,19
2016,1,4,06112,Bragado,Bragado,femenino,20
2016,1,4,06112,Bragado,Bragado,masculino,23
2016,1,3,06126,Campana,Hospital San José-Campana,femenino,30
2016,1,3,06126,Campana,Campana,femenino,32
2016,1,3,06126,Campana,Hospital San José-Campana,masculino,33
2016,1,3,06126,Campana,Campana,masculino,41
2016,1,5,06134,Cañuelas,Cañuelas,femenino,7
2016,1,5,06134,Cañuelas,Hospital Municipal Marzetti-Cañuelas,femenino,17
2016,1,5,06134,Cañuelas,Cañuelas,masculino,7
2016,1,5,06134,Cañuelas,Hospital Municipal Marzetti-Cañuelas,masculino,20
2016,1,1,06140,Capitán Sarmiento,Capitán Sarmiento (Delegación-No Es Nodo),femenino,8
2016,1,1,06140,Capitán Sarmiento,Capitán Sarmiento (Delegación-No Es Nodo),masculino,6
2016,1,8,06147,Carlos Casares,Carlos Casares,femenino,10
2016,1,8,06147,Carlos Casares,Carlos Casares,masculino,25
2016,1,8,06154,Carlos Tejedor,Tres Algarrobos,femenino,4
2016,1,8,06154,Carlos Tejedor,Carlos Tejedor,femenino,5
2016,1,8,06154,Carlos Tejedor,Carlos Tejedor,masculino,2
